iter	Passed	Remaining
152	3912	11430
153	3940	11412
154	3967	11389
155	3994	11368
156	4021	11348
157	4047	11321
158	4075	11302
159	4101	11279
160	4127	11254
161	4153	11229
162	4180	11208
163	4205	11179
164	4227	11146
165	4249	11110
166	4273	11079
167	4296	11047
168	4319	11015
169	4342	10983
170	4365	10951
171	4388	10921
172	4411	10887
173	4434	10855
174	4459	10830
175	4485	10805
176	4512	10783
177	4539	10763
178	4566	10741
179	4593	10718
180	4619	10693
181	4648	10675
182	4674	10652
183	4701	10629
184	4732	10615
185	4765	10606
186	4788	10576
187	4811	10545
188	4834	10513
189	4858	10483
190	4880	10451
191	4903	10418
192	4925	10387
193	4947	10354
194	4969	10322
195	4992	10289
196	5014	10258
197	5038	10230
198	5065	10206
199	5092	10185
200	5121	10167
201	5148	10143
202	5175	10122
203	5200	10095
204	5227	10071
205	5253	10048
206	5281	10028
207	5307	10003
208	5338	9987
209	5367	9967
210	5392	9941
211	5427	9933
212	5454	9910
213	5472	9870
214	5499	9848
215	5524	9821
216	5548	9792
217	5570	9761
218	5593	9730
219	5619	9705
220	5645	9681
221	5672	9659
222	5698	9634
223	5726	9612
224	5754	9590
225	5780	9565
226	5808	9543
227	5835	9521
228	5866	9503
229	5891	9478
230	5920	9457
231	5949	9436
232	5975	9412
233	5998	9383
234	6022	9353
235	6044	9322
236	6067	9292
237	6090	9263
238	6113	9234
239	6137	9206
240	6160	9176
241	6186	9152
242	6218	9136
243	6249	9117
244	6276	9095
245	6303	9071
246	6331	9048
247	6357	9023
248	6384	8999
249	6410	8975
250	6438	8951
251	6464	8927
252	6492	8904
253	6519	8881
254	6543	8852
255	6566	8823
256	6588	8793
257	6612	8764
258	6635	8736
259	6657	8705
260	6680	8677
261	6704	8648
262	6727	8620
263	6751	8592
264	6774	8564
265	6800	8539
266	6829	8518
267	6856	8494
268	6882	8469
269	6909	8445
270	6935	8420
271	6962	8396
272	6988	8371
273	7015	8346
274	7042	8323
275	7068	8298
276	7093	8271
277	7116	8243
278	7140	8215
279	7164	8187
280	7187	8159
281	7211	8132
282	7235	8105
283	7260	8078
284	7287	8054
285	7313	8029
286	7336	8001
287	7362	7976
288	7389	7952
289	7417	7929
290	7448	7909
291	7475	7884
292	7502	7860
293	7527	7834
294	7552	7809
295	7579	7783
296	7607	7761
297	7633	7735
298	7659	7710
299	7685	7685
300	7708	7657
301	7731	7628
302	7752	7598
303	7774	7569
304	7796	7541
305	7819	7512
306	7842	7484
307	7865	7456
308	7889	7429
309	7911	7401
310	7934	7373
311	7959	7347
312	7985	7322
313	8013	7299
314	8040	7274
315	8067	7250
316	8093	7225
317	8119	7199
318	8144	7174
319	8170	7148
320	8196	7123
321	8222	7098
322	8249	7074
323	8275	7049
324	8297	7020
325	8319	6992
326	8342	6965
327	8366	6937
328	8389	6910
329	8412	6882
330	8435	6855
331	8458	6827
332	8480	6800
333	8505	6773
334	8530	6748
335	8558	6724
336	8588	6702
337	8619	6681
338	8648	6658
339	8675	6634
340	8703	6610
341	8729	6585
342	8755	6560
343	8782	6535
344	8808	6510
345	8834	6485
346	8859	6459
347	8882	6432
348	8906	6405
349	8928	6377
350	8950	6349
351	8974	6322
352	8996	6295
353	9019	6267
354	9043	6241
355	9066	6214
356	9089	6187
357	9112	6160
358	9139	6135
359	9167	6111
360	9194	6086
361	9220	6062
362	9251	6040
363	9281	6017
364	9312	5995
365	9338	5970
366	9365	5946
367	9391	5920
368	9417	5895
369	9441	5869
370	9464	5842
371	9487	5814
372	9509	5787
373	9531	5759
374	9556	5734
375	9579	5707
376	9602	5679
377	9624	5652
378	9646	5625
379	9668	5597
380	9694	5572
381	9721	5547
382	9754	5526
383	9782	5502
384	9810	5478
385	9841	5456
386	9872	5433
387	9898	5408
388	9923	5382
389	9949	5357
390	9977	5333
391	10003	5307
392	10027	5281
393	10051	5255
394	10075	5228
395	10096	5201
396	10120	5174
397	10142	5147
398	10164	5120
399	10188	5094
400	10210	5067
401	10232	5039
402	10255	5013
403	10280	4987
404	10307	4962
405	10334	4938
406	10362	4913
407	10391	4889
408	10416	4864
409	10443	4839
410	10470	4815
411	10497	4790
412	10522	4764
413	10548	4739
414	10577	4715
415	10609	4692
416	10641	4669
417	10672	4646
418	10698	4621
419	10722	4595
420	10745	4568
421	10769	4542
422	10792	4516
423	10815	4489
424	10838	4462
425	10863	4437
426	10890	4412
427	10916	4386
428	10944	4362
429	10976	4339
430	11004	4314
431	11033	4290
432	11067	4268
433	11094	4243
434	11122	4218
435	11149	4193
436	11177	4169
437	11201	4142
438	11223	4116
439	11246	4089
440	11270	4063
441	11293	4037
442	11316	4010
443	11338	3983
444	11361	3957
445	11385	3931
446	11408	3904
447	11431	3878
448	11457	3853
449	11486	3828
450	11513	3803
451	11540	3778
452	11567	3753
453	11593	3728
454	11620	3703
455	11646	3677
456	11674	3653
457	11701	3627
458	11727	3602
459	11752	3576
460	11776	3550
461	11799	3524
462	11821	3497
463	11844	3471
464	11866	3445
465	11890	3419
466	11912	3392
467	11934	3366
468	11956	3339
469	11979	3313
470	12002	3287
471	12028	3262
472	12055	3237
473	12082	3211
474	12109	3186
475	12136	3161
476	12163	3136
477	12190	3111
478	12216	3086
479	12251	3062
480	12282	3038
481	12315	3014
482	12349	2991
483	12373	2965
484	12398	2939
485	12421	2913
486	12443	2887
487	12465	2860
488	12489	2835
489	12514	2809
490	12536	2783
491	12559	2756
492	12582	2730
493	12608	2705
494	12635	2680
495	12661	2654
496	12696	2631
497	12724	2606
498	12751	2580
499	12777	2555
500	12806	2530
501	12833	2505
502	12859	2479
503	12886	2454
504	12913	2429
505	12939	2403
506	12963	2377
507	12985	2351
508	13007	2325
509	13029	2299
510	13053	2273
511	13075	2247
512	13103	2222
513	13129	2196
514	13151	2170
515	13175	2144
516	13199	2119
517	13226	2093
518	13252	2068
519	13279	2043
520	13306	2017
521	13333	1992
522	13358	1966
523	13390	1942
524	13416	1916
525	13444	1891
526	13475	1866
527	13508	1842
528	13533	1816
529	13559	1790
530	13583	1765
531	13608	1739
532	13632	1713
533	13655	1687
534	13682	1662
535	13708	1636
536	13734	1611
537	13755	1585
538	13783	1559
539	13810	1534
540	13837	1509
541	13868	1484
542	13894	1458
543	13923	1433
544	13950	1407
545	13977	1382
546	14005	1357
547	14038	1332
548	14065	1306
549	14091	1281
550	14116	1255
551	14139	1229
552	14161	1203
553	14184	1177
554	14209	1152
555	14231	1126
556	14254	1100
557	14276	1074
558	14298	1048
559	14322	1023
560	14345	997
561	14371	971
562	14395	946
563	14423	920
564	14450	895
565	14476	869
566	14505	844
567	14532	818
568	14558	793
569	14584	767
570	14617	742
571	14645	716
572	14673	691
573	14699	665
574	14728	640
575	14753	614
576	14775	588
577	14797	563
578	14821	537
579	14844	511
580	14866	486
581	14889	460
582	14913	434
583	14938	409
584	14965	383
585	14992	358
586	15018	332
587	15047	307
588	15075	281
589	15101	255
590	15128	230
591	15156	204
592	15182	179
593	15208	153
594	15237	128
595	15266	102
596	15291	76
597	15316	51
598	15342	25
599	15365	0
