iter	Logloss
319	0.2978407481
320	0.2978276823
321	0.29781538
322	0.2978020491
323	0.2977841362
324	0.2977714045
325	0.2977548277
326	0.2977410472
327	0.2977252376
328	0.2977152397
329	0.2976991073
330	0.2976850653
331	0.2976729295
332	0.2976578911
333	0.2976477176
334	0.2976304894
335	0.2976203312
336	0.2976074927
337	0.2975932393
338	0.2975751592
339	0.2975565005
340	0.2975407715
341	0.2975303343
342	0.2975112937
343	0.2974957671
344	0.2974794661
345	0.2974627417
346	0.2974482169
347	0.2974344621
348	0.2974157465
349	0.2974049316
350	0.2973952714
351	0.297379416
352	0.2973686653
353	0.2973565541
354	0.2973384721
355	0.2973287568
356	0.2973171611
357	0.2973041631
358	0.2972852667
359	0.2972747353
360	0.2972595591
361	0.297249897
362	0.2972373523
363	0.2972227095
364	0.2972136887
365	0.2972037575
366	0.2971871793
367	0.2971759708
368	0.2971657799
369	0.2971541352
370	0.2971397987
371	0.2971283532
372	0.2971131262
373	0.2970969829
374	0.2970804437
375	0.2970634246
376	0.2970522485
377	0.2970374725
378	0.2970276147
379	0.2970088319
380	0.2970010388
381	0.2969887148
382	0.2969802914
383	0.2969640335
384	0.2969517911
385	0.296934585
386	0.2969177276
387	0.2969022958
388	0.2968892076
389	0.2968744757
390	0.2968578737
391	0.2968470917
392	0.296834227
393	0.2968252544
394	0.2968118587
395	0.296803704
396	0.2967913584
397	0.2967768129
398	0.2967657633
399	0.2967477508
400	0.2967355487
401	0.2967261624
402	0.2967117081
403	0.2967042234
404	0.2966898474
405	0.2966762732
406	0.2966570675
407	0.2966472431
408	0.2966323392
409	0.2966126059
410	0.2965938832
411	0.2965798338
412	0.2965646301
413	0.2965505697
414	0.2965385284
415	0.296526784
416	0.2965110659
417	0.2964961898
418	0.2964831823
419	0.2964704773
420	0.2964574295
421	0.2964463345
422	0.2964355729
423	0.2964246715
424	0.2964087811
425	0.2963968603
426	0.2963844138
427	0.2963747746
428	0.2963603217
429	0.2963451343
430	0.296329943
431	0.2963119205
432	0.2962979683
433	0.296286146
434	0.2962700918
435	0.2962537587
436	0.2962402409
437	0.29622693
438	0.2962133339
439	0.2962000743
440	0.2961836062
441	0.2961666728
442	0.2961544873
443	0.296145538
444	0.2961345524
445	0.2961191891
446	0.296105874
447	0.2960932214
448	0.296080766
449	0.2960653558
450	0.2960511219
451	0.2960397897
452	0.2960229126
453	0.2960108697
454	0.2959998648
455	0.295987161
456	0.2959741142
457	0.2959605729
458	0.2959467767
459	0.2959310073
460	0.2959179363
461	0.2959081778
462	0.2958985396
463	0.2958807143
464	0.2958713913
465	0.2958573597
466	0.2958445803
467	0.29583118
468	0.2958175704
469	0.2958032087
470	0.2957911695
471	0.2957723147
472	0.2957601232
473	0.2957515299
474	0.2957386347
475	0.2957263542
476	0.2957107726
477	0.2956950238
478	0.2956813781
479	0.295666884
480	0.2956558118
481	0.295640924
482	0.295631028
483	0.2956185702
484	0.2956045456
485	0.2955884024
486	0.2955791319
487	0.2955708298
488	0.2955565157
489	0.2955420978
490	0.2955267571
491	0.2955134058
492	0.2954976041
493	0.295486664
494	0.2954748488
495	0.2954666308
496	0.2954532892
497	0.2954422291
498	0.2954292124
499	0.2954179197
500	0.2954112129
501	0.2954019085
502	0.2953921809
503	0.2953792176
504	0.2953666614
505	0.2953554033
506	0.295340817
507	0.2953280581
508	0.2953178756
509	0.2953053399
510	0.2952940333
511	0.2952867752
512	0.2952745589
513	0.2952618525
514	0.2952480391
515	0.2952348902
516	0.29522277
517	0.2952125646
518	0.2952029246
519	0.2951914165
520	0.2951839081
521	0.2951685995
522	0.2951563599
523	0.2951453983
524	0.2951355525
525	0.2951244209
526	0.295113024
527	0.2950990952
528	0.2950860786
529	0.295075053
530	0.2950638173
531	0.2950466519
532	0.2950366355
533	0.2950247989
534	0.295015229
535	0.2950037795
536	0.2949926918
537	0.2949839819
538	0.2949707998
539	0.2949612279
540	0.2949476172
541	0.2949325344
542	0.2949228161
543	0.2949111062
544	0.2948997909
545	0.2948891017
546	0.2948779197
547	0.2948654287
548	0.2948543265
549	0.2948442138
550	0.2948294805
551	0.294817262
552	0.29480887
553	0.2947979183
554	0.2947829807
555	0.2947727448
556	0.2947620968
557	0.294753723
558	0.2947441196
559	0.2947326153
560	0.294719824
561	0.2947084316
562	0.2947017042
563	0.2946907084
564	0.2946809716
565	0.2946648517
566	0.2946515728
567	0.294641013
568	0.2946290937
569	0.294618694
570	0.294608303
571	0.2945980771
572	0.2945894756
573	0.2945807827
574	0.2945716391
575	0.2945600693
576	0.2945489077
577	0.2945389708
578	0.2945300677
579	0.2945222216
580	0.2945103552
581	0.2945015928
582	0.2944905681
583	0.2944809247
584	0.2944687356
585	0.2944590133
586	0.2944472245
587	0.2944375109
588	0.294424635
589	0.2944151714
590	0.2944048897
591	0.2943918792
592	0.2943842774
593	0.2943708301
594	0.2943547907
595	0.2943361037
596	0.2943255253
597	0.2943143191
598	0.2943052821
599	0.2942952669
