iter	Logloss
0	0.6562773017
1	0.623076784
2	0.5922408496
3	0.5656261195
4	0.5419418963
5	0.5205838906
6	0.5012796415
7	0.4844716358
8	0.4687898577
9	0.4548361935
10	0.4420995128
11	0.4312607231
12	0.4207921025
13	0.4114390867
14	0.4030766891
15	0.3957546133
16	0.3887737839
17	0.3823987468
18	0.3770511524
19	0.3717307204
20	0.3669677238
21	0.3626077922
22	0.3585123593
23	0.3548733312
24	0.3514607171
25	0.3483472419
26	0.3454443559
27	0.3428431839
28	0.3404644176
29	0.3381788164
30	0.3361112174
31	0.3342728422
32	0.3324929849
33	0.3307954654
34	0.3292498682
35	0.3277798472
36	0.326402448
37	0.3251733178
38	0.3240517041
39	0.323011301
40	0.3219354024
41	0.3209775963
42	0.320023634
43	0.3191914553
44	0.3183992077
45	0.3176537571
46	0.3169007824
47	0.3162433449
48	0.3156410378
49	0.315049598
50	0.3143307459
51	0.3137875256
52	0.31327778
53	0.312836741
54	0.3124006544
55	0.3119937344
56	0.3116575288
57	0.3112592837
58	0.3109321897
59	0.310605556
60	0.3102993765
61	0.309965245
62	0.3096644509
63	0.3094213149
64	0.3091554745
65	0.3089043465
66	0.3085668248
67	0.3083316964
68	0.3080155098
69	0.3078045088
70	0.3075796868
71	0.3073763446
72	0.3072036021
73	0.3070136838
74	0.3068618846
75	0.3067072193
76	0.3065680617
77	0.3064226666
78	0.3062903801
79	0.3060952441
80	0.3058883649
81	0.305756395
82	0.3056179637
83	0.3055074026
84	0.3053832836
85	0.305286325
86	0.3051810549
87	0.305022014
88	0.3048723984
89	0.3047292196
90	0.3046367538
91	0.304561113
92	0.3044777298
93	0.3043909
94	0.304274353
95	0.3041979907
96	0.3041194817
97	0.3040132555
98	0.3039068528
99	0.3038396189
100	0.3037423964
101	0.3036353651
102	0.3035736558
103	0.3035084475
104	0.3034465316
105	0.3033835504
106	0.3033334615
107	0.3032805513
108	0.3032284065
109	0.3031425813
110	0.3030771568
111	0.3030041827
112	0.3029543727
113	0.3029076926
114	0.3028553162
115	0.3027881436
116	0.3027149103
117	0.3026595306
118	0.3026238826
119	0.3025640264
120	0.3025152963
121	0.3024469808
122	0.3023970647
123	0.302333753
124	0.3022967702
125	0.3022476025
126	0.3022000916
127	0.3021446882
128	0.3021111993
129	0.3020772465
130	0.30204623
131	0.3020084437
132	0.3019555952
133	0.3019195035
134	0.3018812679
135	0.3018314384
136	0.301804972
137	0.3017548685
138	0.3017224967
139	0.301689669
140	0.3016594129
141	0.3016286788
142	0.301588469
143	0.3015456441
144	0.3015122564
145	0.3014767359
146	0.3014354474
147	0.3014015082
148	0.3013663664
149	0.3013236684
150	0.301285646
151	0.3012598548
152	0.3012283887
153	0.3011992511
154	0.3011696836
155	0.3011367441
156	0.3011005528
157	0.3010579098
158	0.3010257675
159	0.3009950363
160	0.3009625865
161	0.3009339375
162	0.3009100521
163	0.3008775677
164	0.3008515522
165	0.3008269943
166	0.3008004363
167	0.3007658383
168	0.3007381356
169	0.3007038531
170	0.3006815734
171	0.3006616936
172	0.3006391716
173	0.3006085187
174	0.3005802156
175	0.3005554407
176	0.3005260665
177	0.3005031541
178	0.3004767634
179	0.300446877
180	0.3004178941
181	0.3003930634
182	0.3003654448
183	0.3003427878
184	0.3003170848
185	0.3002995027
186	0.3002739412
187	0.3002487296
188	0.3002227709
189	0.3001988562
190	0.3001809416
191	0.3001601356
192	0.3001399644
193	0.3001124289
194	0.3000834642
195	0.300063537
196	0.300042162
197	0.3000260806
198	0.3000072227
199	0.2999766201
200	0.2999530134
201	0.2999281434
202	0.2998942666
203	0.2998738227
204	0.2998491739
205	0.2998319214
206	0.2998081742
207	0.2997917163
208	0.2997671983
209	0.2997442991
210	0.2997247098
211	0.2997020067
212	0.2996792437
213	0.2996743089
214	0.2996511696
215	0.2996392693
216	0.2996207349
217	0.2995984461
218	0.2995824293
219	0.2995520474
220	0.2995401222
221	0.299516623
222	0.2995001919
223	0.2994818906
224	0.299467182
225	0.2994515655
226	0.2994364683
227	0.2994180659
228	0.2994017463
229	0.2993863442
230	0.2993698677
231	0.2993477509
232	0.2993283747
233	0.2993099694
234	0.2992921889
235	0.2992763582
236	0.2992589976
237	0.2992418753
238	0.2992211664
239	0.2992052344
240	0.299187042
241	0.299168316
242	0.2991525159
243	0.2991349822
244	0.2991174423
245	0.2990967673
246	0.2990836833
247	0.2990608496
248	0.2990443307
249	0.2990263018
250	0.2990093173
251	0.2989978437
252	0.2989749884
253	0.2989560911
254	0.2989431885
255	0.2989204248
256	0.2988964817
257	0.2988812355
258	0.2988651896
259	0.2988458307
260	0.2988187339
261	0.2988014062
262	0.2987791294
263	0.2987627285
264	0.2987445077
265	0.2987275188
266	0.298713504
267	0.2986933047
268	0.2986726573
269	0.2986566834
270	0.2986409554
271	0.2986164679
272	0.2985996685
273	0.2985837135
274	0.2985603065
275	0.2985413793
276	0.298525938
277	0.2985067504
278	0.2984897731
279	0.2984740687
280	0.298463872
281	0.2984564508
282	0.298439982
283	0.2984210618
284	0.2984027371
285	0.2983855271
286	0.2983669498
287	0.2983530645
288	0.2983402801
289	0.2983269402
290	0.298306498
291	0.2982918854
292	0.2982718425
293	0.2982531233
294	0.2982338143
295	0.2982165557
296	0.2981928201
297	0.2981749159
298	0.2981567105
299	0.2981384555
300	0.2981267559
301	0.298111986
302	0.2980974575
303	0.298088697
304	0.2980739807
305	0.2980615032
306	0.2980461746
307	0.2980284273
308	0.2980085659
309	0.29799457
310	0.2979778294
311	0.2979615205
312	0.2979478905
313	0.2979306066
314	0.2979128059
315	0.2978966166
316	0.2978808688
317	0.2978705392
318	0.2978571461
